All Ordinaries Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
GPT,GPT Group,Real Estate,"7,791,720,000",0.42,,,
GRR,Grange Resources Ltd,Materials,"283,548,000",0.02,,,
GTN,GTN Ltd,Communication Services,"114,098,000",0.01,,,
GUD,G.U.D. Holdings Ltd,Consumer Discretionary,"922,500,000",0.05,,,
GWA,GWA Group Ltd,Industrials,"818,238,000",0.04,,,
GXY,Galaxy Resources Ltd,Materials,"319,394,000",0.02,,,
HAS,Hastings Technology Metals Ltd,Materials,"118,957,000",0.01,,,
HE8,Helios Energy Ltd,Energy,"129,641,000",0.01,,,
HFR,Highfield Resources Ltd,Materials,"191,124,000",0.01,,,
HLO,Helloworld Travel Ltd,Consumer Discretionary,"379,151,000",0.02,,,
HLS,Healius Ltd,Health Care,"1,538,170,000",0.08,,,
HPI,Hotel Property Investments,Real Estate,"425,596,000",0.02,,,
HRR,Heron Resources Ltd,Materials,"20,147,200",0,,,
HSN,Hansen Technologies Ltd,Information Technology,"628,269,000",0.03,,,
HT1,HT&E Ltd,Communication Services,"323,219,000",0.02,,,
HTA,Hutchison Telecommunications (Australia) Ltd,,"2,103,740,000",0.11,,,
HUB,HUB24 Ltd,Financials,"651,086,000",0.03,,,
HUO,Huon Aquaculture Group Ltd,Consumer Staples,"305,533,000",0.02,,,
HVN,Harvey Norman Holdings Ltd,Consumer Discretionary,"4,186,580,000",0.22,,,
HZN,Horizon Oil Ltd,Energy,"92,440,700",0,,,
IAG,Insurance Australia Group Ltd,Financials,"13,935,600,000",0.75,,,
IAP,Investec Australia Property Fund,Real Estate,"718,275,000",0.04,,,
IDX,Integral Diagnostics Ltd,Health Care,"708,650,000",0.04,,,
IEL,Idp Education Ltd,Consumer Discretionary,"4,776,250,000",0.26,,,
IFL,IOOF Holdings Ltd,Financials,"1,688,680,000",0.09,,,
IFM,Infomedia Ltd,Information Technology,"604,749,000",0.03,,,
IFN,Infigen Energy,Utilities,"582,419,000",0.03,,,
IGL,Ive Group Ltd,Communication Services,"169,697,000",0.01,,,
IGO,IGO Ltd,Materials,"3,060,330,000",0.16,,,
ILU,Iluka Resources Ltd,Materials,"3,606,230,000",0.19,,,
IMD,IMDEX Ltd,Materials,"448,206,000",0.02,,,
INA,Ingenia Communities Group,Real Estate,"1,368,240,000",0.07,,,
ING,Inghams Group Ltd,Consumer Staples,"1,233,980,000",0.07,,,
INR,Ioneer Ltd,Materials,"193,187,000",0.01,,,
IPH,IPH Ltd,Industrials,"1,629,410,000",0.09,,,
IPL,Incitec Pivot Ltd,Materials,"3,807,750,000",0.2,,,
IRE,Iress Ltd,Information Technology,"1,978,000,000",0.11,,,
IRI,Integrated Research Ltd,Information Technology,"592,920,000",0.03,,,
ISU,Iselect Ltd,Consumer Discretionary,"54,465,300",0,,,
ISX,Isignthis Ltd,Information Technology,"1,172,250,000",0.06,,,
ITG,Intega Group Ltd,Industrials,"133,580,000",0.01,,,
IVC,Invocare Ltd,Consumer Discretionary,"1,634,850,000",0.09,,,
JBH,JB Hi-Fi Ltd,Consumer Discretionary,"4,360,970,000",0.23,,,
JHC,Japara Healthcare Ltd,Health Care,"150,995,000",0.01,,,
JHG,Janus Henderson Group Plc,Financials,"1,234,170,000",0.07,,,
JHX,James Hardie Industries Plc,Materials,"11,690,200,000",0.63,,,
JIN,Jumbo Interactive Ltd,Consumer Discretionary,"740,970,000",0.04,,,
JLG,Johns LYNG Group Ltd,Industrials,"564,868,000",0.03,,,
JMS,Jupiter Mines Ltd,Materials,"568,107,000",0.03,,,
KAR,Karoon Energy Ltd,Energy,"326,261,000",0.02,,,
KGN,Kogan.com Ltd,Consumer Discretionary,"1,037,090,000",0.06,,,
KMD,Kathmandu Holdings Ltd,Consumer Discretionary,"687,731,000",0.04,,,
KSC,K & S Corporation Ltd,Industrials,"187,383,000",0.01,,,
KSL,Kina Securities Ltd,Financials,"177,366,000",0.01,,,
LEP,Ale Property Group,Real Estate,"927,945,000",0.05,,,
LIC,Lifestyle Communities Ltd,Real Estate,"984,815,000",0.05,,,
LLC,Lendlease Group,Real Estate,"8,688,540,000",0.47,,,
LNG,Liquefied Natural Gas Ltd,Energy,"24,796,700",0,,,
LNK,Link Administration Holdings Ltd,Information Technology,"2,163,740,000",0.12,,,
LOV,Lovisa Holdings Ltd,Consumer Discretionary,"837,111,000",0.04,,,
LVH,Livehire Ltd,Information Technology,"83,218,700",0,,,
LVT,Livetiles Ltd,Information Technology,"225,506,000",0.01,,,
LYC,Lynas Corporation Ltd,Materials,"1,464,490,000",0.08,,,
LYL,Lycopodium Ltd,Industrials,"187,537,000",0.01,,,
MAH,Macmahon Holdings Ltd,Materials,"560,296,000",0.03,,,
MAQ,Macquarie Telecom Group Ltd,,"681,811,000",0.04,,,
MCP,Mcpherson's Ltd,Consumer Staples,"285,324,000",0.02,,,
MEZ,Meridian Energy Ltd,Utilities,"5,647,520,000",0.3,,,
MFG,Magellan Financial Group Ltd,Financials,"10,668,900,000",0.57,,,
MGR,Mirvac Group,Real Estate,"9,048,070,000",0.49,,,
MGX,Mount Gibson Iron Ltd,Materials,"850,897,000",0.05,,,
MHJ,Michael Hill International Ltd,Consumer Discretionary,"141,538,000",0.01,,,
